name,aff_no,state,district,address,pincode,ph_no,email,website,status
ARMY PUBLIC SCHOOL,1980007,TAMILNADU,THE NILGIRIS,WELLINGTON NILGIRIS TAMIL NADU,643231,0423,armyschool@hotmail.com,,Senior Secondary
THE EMIRATES NATIONAL SCHOOL,6630030,FOREIGN SCHOOLS,UNITED ARAB EMIRATES,"PO BOX 5622, NAKHEELAT, MAISALOON SHARJAH U A E",,,thomsens.ens@gmail.com,,Senior Secondary
GOETHAL'S PUBLIC SCHOOL,330155,BIHAR,BHAGALPUR,PO PIRPAINTI BHAGALPUR BIHAR,813209,06429,pratimasingh999@gmail.com,,Senior Secondary
JAWAHAR NAVODAYA VIDYALAYA,2140055,UTTAR PRADESH,AURAIYA,"GRAM-TAIYYAPUR, POST SAHAYAL, VIA DIBIYAPUR, AURAIYA,UTTAR PRADESH",206244,05683,msaxenajnv@gmail.com,,Senior Secondary
GYAN DEEP PUBLIC SCHOOL,330685,BIHAR,BUXAR,"VILL.- KAMARPUR, P.O.- KAMARPUR, P.S. - BUXAR",802102,,snehilshivam21@gmail.com,,Secondary School
BHIWANI PUBLIC  SCHOOL,530275,HARYANA,BHIWANI,SECT 14 BHIWANI HARYANA,127021,01664,jk.bhardwaj12@gmail.com,,Senior Secondary
ARUNACHAL PUBLIC SCHOOL,1030442,MADHYA PRADESH,SEONI,"SEER DEEWAN, DISTT SEONI, MADHYA PRADESH",480661,08262,aps_seoni@yahoo.in,,Senior Secondary
BAJAJ PUBLIC SCHOOL,2131354,UTTAR PRADESH,SAHAJANPUR,"BAJAJ  HINDUSTHAN LTD. COMPOUND, BANDA ROAD, VILLAGE: MAQSOODAPUR, TEH: POWAYAN, DISTRICT: SHAHJAHANPUR, U.P",242402,,amitabrar7@gmail.com,,Senior Secondary
HOLY ANGEL'S PUBLIC SCHOOL,2130198,UTTAR PRADESH,GHAZIABAD,NEAR POLICE STATION KAVI NAGAR GHAZIABAD UTTAR PRADESH,201002,0120,drvinitgaba@hotmail.com,,Senior Secondary
ST. THOMAS PUBLIC SCHOOL,930134,KERALA,ERNAKULAM,AKG ROAD MUVATTUPUZHA ERNAKULAM DIST KERALA,686673,0485,ruby.cyriac@rediffmail.com,,Senior Secondary
GOVT SR.SEC SCHOOL,2220096,ARUNACHAL PRADESH,WEST SIANG,LOROMOBA DT- WEST SIANG ARUNACHAL PRADESH,791101,,nikenngomdir16@rediffmail.com,,Secondary School
D P S  MEWAT MODEL SCHOOL,530062,HARYANA,GURGAON,NUH COLONY GURGAON DISTT HARYANA,122007,1267,mmsnuh@gmail.com,http://www.mmsnuh.com,Senior Secondary
SHAHANA INTERNATIONAL SCHOOL,2132480,UTTAR PRADESH,JAUNPUR,"FARIADABAD (DALHANPUR) PO.-ITI SIDDIQPUR, SHAHGANJ ROAD, JAUNPUR",222001,,gsquraishi@gmail.com,,Secondary School
"RAJKIYA ASHRAM PADDAHATI VIDYALAYA,",2120055,UTTAR PRADESH,,"KARARI, KAUSHAMBI UP",,,,,Senior Secondary
KAIRALI VIDYA BHAVAN,930342,KERALA,THIRUVANANTHAPURAM,NETTIRACHIRA NEDUMANGAD PO THIRUVANANTHAPURAM KERALA,695541,0472,lekhasantha@gmail.com,,Senior Secondary
TAGORE PUBLIC SCHOOL,1730209,RAJASTHAN,JAIPUR,AMARPALI CIRCLE NEAR JDA NURSERY VAISHALI NAGAR JAIPUR RAJASTHAN,302021,0141,bhavanamainitps@gmail.com,,Senior Secondary
HARBHAJAN INTERNATIONAL SCHOOL,1630880,PUNJAB,BHATINDA,"BATHINDA- RAMPURA ROAD, VILL- LEHRA BEHA, TEH- NATHANA, DIST- BATHINDA- 151111",151111,,harbhajanischool@gmail.com,,Senior Secondary
ST JULIANA'S PUBLIC SCHOOL,930619,KERALA,ERNAKULAM,"PERUMPADAPPU PAI ROAD COCHIN, DISTT ERNAKULAM, KERALA",682006,0484,srmercyveliparambil@gmail.com,,Senior Secondary
KENDRIYA VIDYALAYA NO 3,1600015,PUNJAB,,P O MAMOON PATHANKOT PUNJAB,145001,0186,gssethiprincipal@yahoo.com,http://www.kvvidyanagar.o,Senior Secondary
VISHASHVI PUBLIC SCHOOL,330358,BIHAR,PATNA,CO-OPERATIVE COLONY; NH30A;FATUHA.,803201,01681,kumarvimal220@gmail.com,http://www.vishashvi.com/,Secondary School
MOTHER MARY'S SCHOOL,2730573,DELHI,EAST DELHI,"SITE NO 1 , SAHKARITA MARG, MAYUR VIHAR PH-I",110091,,poornimajoshi257@gmail.com,,Senior Secondary
MOTHER TERESA SENIOR SECONDARY CO-ED SCHOOL,1030154,MADHYA PRADESH,BHOPAL,BAIRAGARH CHICHLI POST  GRAM INAYATPUR BHOPAL MADHYA PRADESH,462042,0755,jamesmtss@gmail.com,,Senior Secondary
JAI BHARAT MODERN SCHOOL,530446,HARYANA,SONEPAT,VPO JANTI KALAN TEH & DISTT SONEPAT HARYANA,131001,,punam.r03@gmail.com,,Senior Secondary
HERITAGE VIDHYALAYA,1930665,TAMILNADU,SALEM,"KAVARKAL PATTY, VELLALAGUNDAM (PO)",636111,,hervid2014@gmail.com,http://www.heritagevidhyalayacbse.edu.in,Secondary School
JAWAHAR NAVODAYA VIDYALAYA,1640021,PUNJAB,,"RAKOLI PO JHINGRAN KALAN, DISTT MOHALI, PUNJAB",140103,0160,jnvmohali@gmail.com,,Senior Secondary
SREE GOKULAM PUBLIC SCHOOL,930187,KERALA,THRISSUR,"PAZHUVIL WEST TRICHUR THRISSUR DISTT., KERALA",680564,0487,principalgps105@gokulampublicschool.com,http://www.oxforduklana.com,Senior Secondary
DAV PUBLIC SCHOOL,1630426,PUNJAB,SANGRUR,"COLLEGE ROAD, SUNAM SANGRUR PUNJAB-148028",148028,01676,sunamdavschool@gmail.com,http://www.stpetersmodelschool.com,Senior Secondary
AS SABEEL ACADEMY,330732,BIHAR,ARARIA,"ABUL HASAN COMPLEX
AZAM NAGAR
PO:- KUSYAR GAON",854311,,assabeelap11@gmail.com,http://www.assabeel.in,Secondary School
GOVT. BOYS SECONDARY SCHOOL,2750140,DELHI,,"F-BLOCK, SULTANPURI, DELHI-110086",110086,011,gbss1412083@gmail.com,,Senior Secondary
"DR. AMRIT LAL ISHRAT MEMORIAL SUNBEAM SCHOOL, CHAUBEYPUR VARANASI",2132325,UTTAR PRADESH,VARANASI,BAHADURPUR,221004,,dijojohn1975@gmail.com,http://www.dalimsschaubeypur.com,Secondary School
KENDRIYA VIDYALAYA,3300022,CHATTISGARH,,BAILADILA AT DANTEWADA AT & PO DANTEWADA SOUTH BASTAR CHHATTISGARH,494449,07856,dantewarakv@gmail.com,,Senior Secondary
SUPER INTERNATIONAL SCHOOL,2131575,UTTAR PRADESH,UNNAO,"2 KMS FROM GANGA BRIDGE ON KANPUR LUCKNOW NATIONAL HIGHWAY, VILLAGE : KATRI PEEPAR KHEDA, UNNAO - 209801",209801,,principal@superinternationalschool.com,http://www.superinternationalschool.com,Senior Secondary
HILL GROVE PUBLIC SCHOOL,630062,HIMACHAL PRADESH,SIMLA,"SHEETAL KUNJ ESTATE BRANCH PO KAMLA NAGAR SANJAULI SHIMLA, HIMACHAL PRADESH",171006,01899,principal@davavn.com,http://www.pcsjammu.g,Senior Secondary
DRONACHARYA PUBLIC SCHOOL,530976,HARYANA,FARIDABAD,"VILLAGE- KABULPUR , SECTOR-56, BALLABGARH-SOHNA ROAD,",121004,,dronaschoolfbd@gmail.com,,Secondary School
THE ASIAN SCHOOL,3530251,UTTARAKHAND,DEHRADUN,"VASANT VIHAR, INDIRA NAGAR",248006,0744,theasainschool@gmail.com,http://www.theasianschool.net,Senior Secondary
GOVT. SEC SCHOOL,1820100,SIKKIM,EAST DISTRICT,BAHAI SARMASA PO- RANIPOOL EAST SIKKIM,737135,03592,sharmkailash@gmail.com,,Secondary School
MANAS CONVENT SCHOOL,2130840,UTTAR PRADESH,CHANDAULI,"MANAS NAGAR, MUGHAL SARAI CHANDULI UTTAR PRADESH",232101,05412,snathmcsmgs@gmail.com,,Senior Secondary
ELLEN SCHOOL,830437,KARNATAKA,MANDYA,"T.B EXTENSION,
NAGAMANGLA-571432
MANDYA DIST
KARNATAKA STATE",571432,080,ellenschool_ngm@yahoo.co.in,http://www.stcshkr.org,Secondary School
YUVABHARATHI INTERNATIONAL SCHOOL,7330004,FOREIGN SCHOOLS,SINGAPORE,"NO: 3 HU CHING ROAD,
JURONG WEST",691615,,principal@yuvabharathi.sg,http://www.yuvabharathi.sg,Senior Secondary
ADARSH PUBLIC SCHOOL,130147,ANDHRA PRADESH,VISAKHAPATNAM,VINAYAK NAGAR PEDAGANTYUDA ANDHRA PRADESH,530044,0891,mahamadhav69@gmail.com,,Secondary School
GOVT SEC SCHOOL,2520068,ANDAMAN & NICOBAR,,DISTT JUNGLIGHAT PT BLAIR SOUTH ANDAMANS,744103,03192,headmaster.gssjg62@gmail.com,,Secondary School
SARVODAYA KANYA VIDYALAYA NO 2,2766063,DELHI,WEST DELHI,PUNJABI BAGH NEW DELHI,110026,011,savitarawat365@gmail.com,,Senior Secondary
I.T.M PUBLIC SCHOOL,931108,KERALA,KANNUR,"MAYYIL,
PAVANNURMOTTA (P.O)
TALIPARAMBA
KANNUR
PIN 670602",670602,,cbseprincipal@itmgroup.in,http://www.itmayyil.com,Secondary School
VIKAS INTERNATIONAL SCHOOL,531242,HARYANA,REWARI,"VILL-ROLIAWAS,POST OFFICE-D.G PURA",123401,,visedu.co@gmail.com,http://www.visedu.in,Senior Secondary
CS ACADEMY,1930245,TAMILNADU,PERIYAR,VALLIPURATHANPALAYAM KAVUNDACHIPALAYAM VILLAGE,638112,03192,principal@csacademy.in,http://www.csacademy.in,Senior Secondary
THE GRAMODAYA INTERNATIONAL COLLEGE,2131218,UTTAR PRADESH,JHANSI,"727, ALYAI,MAURANIPUR-JHANSI",284204,01482,gramodaya.college@gmail.com,http://www.gramodayacollege.com,Senior Secondary
M A S SANSTHAN KAMTI KALA (CHAKIA),2130268,UTTAR PRADESH,,P.O.DHARDE VIA BABURI VARANASI UTTAR PRADESH,232102,05413,arvindpandey73@yahoo.com,,Senior Secondary
ODISHA ADARSH VIDYALAYA,1520083,ODISHA,KANDHAMAL,"JALESHPATTA, P.O. TUMUDIBANDHA, DISTT. KANDHAMAL, ODISHA",,,12011973d@gmail.com,,Secondary School
SHANTHINIKETAN PUBLIC SCHOOL,830280,KARNATAKA,BANGALORE,"B.M ROAD, VIVEKANANDA NAGAR, RAMANAGARAM  - 571 511, BANGALORE RURAL DIST.",571511,08284,kusuma_princi@rediffmail.com,http://www.shanthiniketan.org,Secondary School
KIDZEE AND SUNSHINE HIGH SCHOOL,230148,ASSAM,TINSUKHIA,"NAMDANG GAON
BARAGOLAI
P.O.- MARGHERITA
DIST.- TINSUKHIA
PIN NO. - 786181
A
ASSAM",786181,,rheankita@rediffmail.com,,Secondary School
GOVT CO-ED SR SEC SCHOOL,2756132,DELHI,,SECT II DWARKA (PAPANKALAN) NEW DELHI,110075,011,psysky2009@gmail.com,,Senior Secondary
ARMY PUBLIC SCHOOL,1180021,MAHARASHTRA,NAGPUR,"THE MALL ROAD, KAMPTEE CANTT., KAMPTEE",441001,07109,cbse.apskamptee@gmail.com,,Secondary School
GOVT GIRLS SR. SEC SCHOOL,2768033,DELHI,NORTH DELHI,QURESH NAGAR IDGAH ROAD DELHI,110006,011,maini.seema964@gmail.com,,Senior Secondary
VASHIST PUBLIC SCHOOL,630119,HIMACHAL PRADESH,UNA,VILL & P.O. BEHDALA TEH & DISTT UNA,174303,,dpkkaushal@gmail.com,,Senior Secondary
A.B.M PUBLIC SCHOOL,530832,HARYANA,FARIDABAD,"WAZIRPUR-BHUPANI ROAD, RIWAZPUR (SECTOR-89)",121002,,infoabmschool@gmail.com,http://www.abmschool.com,Senior Secondary
ST XAVIER'S HIGH SCHOOL,2130689,UTTAR PRADESH,,BISHNU PURA DISTT BALRAMPUR UTTAR PRADESH,271201,05263,principal@xaviersbalrampur.com,,Senior Secondary
ODISHA ADARSHA VIDYALAYA,1520017,ODISHA,GANJAM,"AT PAKIDI HILL, BLOCK-SHERAGADA, DISTT. GANJAM, ODISHA-761106",,,examjnvdkl@gmail.com,,Secondary School
VIVEK INTERNATIONAL PUBLIC SCHOOL,630085,HIMACHAL PRADESH,SOLAN,HOUSING BOARD COLONY PHASE III BADDI SOLAN HIMACHAL PRADESH,173025,01795,punitarattanpal@gmail.com,http://www.pcsjammu.org,Senior Secondary
GOVT SARVODAYA GIRLS SR SEC SCHOOL,2760034,DELHI,,BHARAT NAGAR DELHI,110052,011,kanta01777@gmail.com,,Senior Secondary
APEX INTERNATIONAL SCHOOL,930963,KERALA,KOZHIKODE,"ODUMBRA, OLAVANNA.P.O.",673019,,amrutha_santhosh@yahoo.com,http://www.apexinternatonalschool.org,Secondary School
ALPINE VIDHYAPEETH,2132070,UTTAR PRADESH,MUZAFFARNAGAR,CHARTHAWAL ROAD THANABHAWAN SHAMLI,247777,,sandeep_sml@rediffmail.com,http://www.alpinevidhyapeeth.in,Senior Secondary
HITKARI VIDYA MANDIR,531379,HARYANA,BHIWANI,VPO MANDOLA,127306,,h.v.m.mandola@gmail.com,http://www.hitkarividyamandir.com,Secondary School
KAUSHAL CHAUHAN PUBLIC SCHOOL,2131153,UTTAR PRADESH,MORADABAD,"KANTH, MORADABAD",244501,,kcpublicschoolkanth@gmail.com,http://www.xyx.com,Senior Secondary
JAWAHAR NAVODAYA VIDYALAYA,740017,JAMMU & KASHMIR,,"MARI, DISTT. REASI, J & K",182311,01991,ksjasrotia1965@gmail.com,,Senior Secondary
GOWTHAM CONCEPT SCHOOL,130184,ANDHRA PRADESH,KRISHNA,BYE PASS ROAD SANTHI NAGAR GUDIWADA KRISHNA DISTT ANDHRA PRADESH,521301,0891,snehaprem2409@gmail.com,,Secondary School
P C INSTITUTE,2130416,UTTAR PRADESH,GHAZIABAD,NANDGRAM NOORNAGAR GHAZIABAD UTTAR PRADESH,200101,0120,pcinstitute70@gmail.com,http://www.indraprasthaschool.com,Senior Secondary
AKAL GALAXY CONVENT SCHOOL,1630735,PUNJAB,KAPURTHALA,"VILL ALLADADCHACK , P.O. SARAIN JATTAN, TEHSIL SULTANPURLODHI , DITRICT KAPURTHALA",144626,91,principal.akalgalaxy@yahoo.com,,Secondary School
GOVT. MODEL SCHOOL,1620023,PUNJAB,MUKTSAR,"BHAGSAR, DISTT, SHRI MUKTSAR SAHIB, PUNJAB",148001,99151,suchiragnagar@yahoo.co.in,,Senior Secondary
INDIAN PUBLIC SCHOOL,330415,BIHAR,SIWAN,"ISLAMIA NAGAR,
SURAPUR, SIWAN",841226,0477,ipssurapursiwan@gmail.com,http://www.ipssiwan.com,Senior Secondary
VISHVAS PUBLIC SCHOOL,530121,HARYANA,KURUKESHTRA,SHAHABAD MARKANDA KURUKSHETRA HARYANA,132135,0121,snehrajpal629@yahoo.com,,Senior Secondary
KENDRIYA VIDYALAYA NO 1,2100013,UTTAR PRADESH,JHANSI,RANA PRATAP MARG JHANSI CANTT UTTAR PRADESH,284001,,principalkv1jhs@gmail.com,,Senior Secondary
JESUS SAVIOURS SCHOOL,1630363,PUNJAB,ROPAR,MARULI KALAN MORIENDA DISTT ROPAR PUNJAB,140101,0160,jebajayakumar115@gmail.com,,Senior Secondary
ST.JOSEPH'S CONVENT SCHOOL,1030664,MADHYA PRADESH,JABALPUR,"TFRI, NEAR GOUR RIVER,MANDALA ROAD, JABALPUR.",482001,,sjctfri@yahoo.com,http://www.sjc.com,Senior Secondary
D A V PUBLIC SCHOOL,530083,HARYANA,AMBALA,NARAINGARH HARYANA,134203,01734,principal_davngh@yahoo.co.in,,Senior Secondary
GOVT MODEL GIRLS HIGHER SEC SCHOOL,3320106,CHATTISGARH,,DURG DURG CHHATTISGARH,,,,,Senior Secondary
KENDRIYA VIDYALAYA,300036,BIHAR,CHAMPARAN EAST,EAST CHAMPARAN NEHRU STADIUM MOTIHARI BIHAR,845401,06244,ramkrishnamishara863@gmail.com,http://kvkhagaria.ac.in/,Secondary School
SUSHILA MODEL SCHOOL,2132888,UTTAR PRADESH,GHAZIABAD,DAYANAND NAGAR,201001,,aaradhana57@gmail.com,http://www.sushilamodelschool.org,Middle Class
RAO KHEM CHAND VIDYA VIHAR,530583,HARYANA,REWARI,BOHATWAS HOATWAS AHIR TEHSIL & DISTT REWARI HARYANA,123101,01666,rkcvv@rediffmail.com,,Senior Secondary
KARUNYA CHRISTIAN SCHOOL,1930600,TAMILNADU,COIMBATORE,"KARUNYA NAGAR, MATHVARAYAPURAM VILLAGE COIMBATORE SOUTH COIMBATORE TAMIL NADU",641114,,kcs@karunya.edu,http://www.karunyachristianschool.edu.in,Senior Secondary
SHRI GURU TEG BAHADUR PUBLIC SCHOOL,1630903,PUNJAB,JULLUNDUR,"VILL. SANAURA,P.O. BHOGPUR ,TEH. BHOGPUR,DISTT. JALANDHAR",144201,,nkghuman13@gmail.com,http://www.sgtb.in,Senior Secondary
INDIAN PUBLIC SCHOOL,930639,KERALA,KOLLAM,KIZHAVOOR MUKHATHALA PO KOLLAM KERALA,691577,0474,subhashkonath@gmail.com,,Senior Secondary
JAWAHAR NAVODAYA VIDYALAYA,840022,KARNATAKA,RAICHUR,POST MUDGAL DISTT RAICHUR KARNATAKA,584125,08537,cksaseendran@yahoo.co.in,,Senior Secondary
GOVT GIRLS SR SEC SCHOOL NO-3,2762018,DELHI,,GANDHI NAGAR DELHI,110031,011,aruna.srivastava9@gmail.com,,Senior Secondary
J.S PUBLIC SCHOOL,2131841,UTTAR PRADESH,ALIGARH,VILL. RANA GONDA ROAD ALIGARH,202001,,onlankit@gmail.com,,Secondary School
GOKHALE MEMORIAL GIRLS SCHOOL,2430163,WEST BENGAL,CALCUTTA,"1/1. HARISH MUKHERJEE ROAD, KOLKATA-700020.",700020,,gokhale_memorial@yahoo.in,http://www.gokhalememorialgirlsschool.org,Senior Secondary
MY SCHOOL,1130649,MAHARASHTRA,KOLHAPUR,"NEAR CHOUNDESHWARI COTTON MILL, SANGLI-KOLHAPUR HIGHWAY CHIPRI. TAL SHIROL DIST.KOLHAPUR",416101,,meghalimagdum8@gmail.com,,Secondary School
TOP RANKER INTERNATIONAL SCHOOL,1630953,PUNJAB,BHATINDA,V P O NATHANA,151102,,topranker777@gmail.com,,Secondary School
"BHARATIYA VIDYA BHAVAN SCHOOL, PERUMTHIRUTHI",930910,KERALA,KOZHIKODE,"PERUMTHIRUTHI, ELATHUR,",673303,,tharakwarrier@gmail.com,,Senior Secondary
EDIFY SCHOOL BENGALURU,830500,KARNATAKA,BANGALORE,"226/227, SOMANAHALLI, KANAKAPURA MAIN ROAD",560082,01679,principal@edifyschoolbengaluru.com,http://www.edifyschoolbengaluru.com,Senior Secondary
SHIRDI SAI PUBLIC SCHOOL,2131040,UTTAR PRADESH,MORADABAD,"SAI NAGAR, AGHWANPUR POST, KANTH ROAD,",244001,0484,devasiassps@gmail.com,,Senior Secondary
CHRISTUS REX HIGHER SECONDARY SCHOOL,1930070,TAMILNADU,,POST BOX NO. 45  ST. MARY'S HILL OOTACAMUND THE NILGIRIS TAMIL NADU,643001,0423,christusrex1975@gmail.com,,Senior Secondary
OLYMPUS HIGH,1030715,MADHYA PRADESH,VIDISHA,"VILLAGE DHATURIA, SAGAR ROAD VIDISHA",464001,,pplolympushigh@gmail.com,,Senior Secondary
SACRED HEART CMI PUBLIC SCHOOL,931293,KERALA,MALAPPURAM,"SACRED HEART CMI PUBLIC SCHOOL, NEAR E.M.S. HOSPITAL, DUBAIPADI, PONNIYAKURUSSI",679322,,babuthattil@gmail.com,http://www.sacredheartcmipublicschool.com,Secondary School
MOHINDER SINGH MEMIAL PUBLIC SCHOOL,3530369,UTTARAKHAND,UDHAM SINGH NAGAR,KICHHA ROAD SITARGANJ UDHAM SINGH NAGAR  UTTARANCHAL PIN.263146,263146,,bhinderharmeet07@gmail.com,http://www.msmpschool.com,Senior Secondary
SHAHEED CAPTAIN  ANUJ  NAYYAR  SARVODAYA BAL VIDYALAYA NO. 2,2756031,DELHI,WEST DELHI,B-BLOCK JANAK PURI NEW DELHI,110058,011,ikgupta@yahoo.com,,Senior Secondary
"H K M  RESIDENTIAL PUBLIC SCHOOL,",931246,KERALA,KOLLAM,"KALLUKUZHI, UMAYANALLOOR.P.O,
KOLLAM",691589,,nakhkm@gmail.com,,Secondary School
ST. JOSEPH'S SCHOOL,2230044,ARUNACHAL PRADESH,,SEPPA,790102,,nptrisha@gmail.com,,Secondary School
MAHI INTERNATIONAL SCHOOL,2132192,UTTAR PRADESH,AGRA,"825 VILLAGE TEHRA, AGRA-GWALIOR ROAD, NH-3, AGRA",283124,,principalmahi@gmail.com,http://www.mahischool.ac.in,Secondary School
N.P. CO EDU SEC SCHOOL,2774040,DELHI,,"NETAJI NAGAR, NEW DELHI",110023,011,munna1960lal@gmail.com,,Secondary School
ST. JOHN'S HIGH SCHOOL,2630038,CHANDIGARH,CHANDIGARH(UT),SECTOR 26 CHANDIGARH,160,011,kavitacdas@yahoo.com,,Senior Secondary
NAGARJUNA VIDYANIKETAN,830064,KARNATAKA,BANGALORE,"104/105, IVRI ROAD, BEHIND CRPF CAMPUS, YELAHANKA, BANGALORE NORTH, SECTOR 4 BANGALORE 560064",560064,080,nvnprinicpal@gmail.com,,Senior Secondary
MAHARISHI VIDYA MANDIR,2130574,UTTAR PRADESH,HAMIRPUR,KUCHHECHHA BETWA NAGAR HAMIRPUR UTTAR PRADESH,210301,05282,mvm_hamir@rediffmail.com,,Senior Secondary
LAXMI INTERNATIONAL ACADEMY,1730798,RAJASTHAN,JAIPUR,"N.H.8, LAXMI NAGAR, BIDARA,SHAHPURA",303103,,laxmiinternationalacademy@yahoo.com,,Secondary School
ROCKWELL INTERNATIONAL SCHOOL,3630152,TELANGANA,HYDERABAD,"PLOT NO 727, RD 36, JUBILEE HILLS HYDERABAD",500034,,subash@rockwellinternationalschool.com,http://www.rockwellinternationalschool.com,Secondary School
N.K.BAGRODIA GLOBAL SCHOOL,2730779,DELHI,SOUTH WEST DELHI,"SECTOR-17, PHASE II DWARKA",110078,,jaishreenawani@yahoo.co.in,http://www.nkbglobalschool.com,Secondary School
POLICE MODERN SCHOOL,2180039,UTTAR PRADESH,AGRA,"15 BN PAC, TAJGANJ, AGRA",282001,08548,comdt15bn@uppac.in,,Secondary School
SITA SHARAN MEMORIAL SCHOOL,330556,BIHAR,NALANDA,"VILL-BHATAHAR,PO-BHATAHAR,PS-THARATHARI",801307,,sanjay.ssms1202@gmaail.com,,Secondary School
JAWAHAR NAVODAYA VIDYALAYA,1040048,MADHYA PRADESH,UMARIA,"PALI (DUBBAR),  DISTT. UMARIA, M.P.",484661,07653,spdch4@gmail.com,,Senior Secondary
KENDRIYA VIDYALAYA,900030,KERALA,KOLLAM,"THIRUMULLAVARAM P.O., WEST KOLLAM, KOLLAM, KERALA",691012,0474,gskkmr@yahoo.com,,Senior Secondary
ALOK SENIOR SECONDARY SCHOOL,1730007,RAJASTHAN,UDAIPUR,HIRAN MAGRI SECTRO 11 UDAIPUR RAJASTHAN,313001,0294,staunk@alokschool.org,,Senior Secondary
KENDRIYA VIDYALAYA,200033,ASSAM,KABRI ANGLONG,"CCI BOKAJAN, P O BOKAJAN DISTT KARBI ANGLONG, ASSAM",782490,03675,principalkvccibokajan@yahoo.in,,Secondary School
"ABU DHABI INDIAN SCHOOL, BRANCH 1",6630083,FOREIGN SCHOOLS,UNITED ARAB EMIRATES,"P.O.BOX 79803
AL WATHBA,
ABU DHABI, U.A.E",000000,,principal@adiswathba.com,http://www.adiswathba.com/,Senior Secondary
KENDRIYA VIDYALAYA NO 2,500002,HARYANA,AMBALA,16 MAJUMDAR LINES AMBALA CANTT HARYANA,133001,0532,priyankast@rediffmail.com,,Senior Secondary
ATOMIC ENERGY CENTRAL SCHOOL-2,3480010,JHARKHAND,EAST SINGHBHUM,"PO JADUGUDA MINES DISTRICT EAST SINGHBHUM, MOSABANI, JHARKHAND",832102,0657,cstb@sanchernet.in,,Secondary School
EKLAVYA MODEL RESIDENTIAL SCHOOL,1020015,MADHYA PRADESH,,"MORDUNDIYA, JHABU, VILLAGE, MODUPUR, DISTT. JHABU, MADHYA PRADESH",457669,07392,nayakarvind1963@gmail.com,,Secondary School
SARASWATI BAL MANDIR,2730344,DELHI,WEST DELHI,"A-2 PASCHIM VIHAR, DISTT WEST DELHI, NEW DELHI",110063,0499,mamtachauhan.sbm@gmail.com,,Senior Secondary
PRATIBHA PALLAVAN PUBLIC SCHOOL,330086,BIHAR,JAHANABAD,AT & PO MAIN ROAD JEHANABAD DISTT BIHAR,800408,06114,ppeg2000@gmail.com,http://www.springdales.com/jaipur,Senior Secondary
CHETNA CONVENT JUNIOR HIGH SCHOOL,2132603,UTTAR PRADESH,GHAZIABAD,"85, 100 FT. ROAD, KHANNA NAGAR, LONI, GHAZIABAD",201102,,chetna0015@gmail.com,,Secondary School
DR.P.V. SUKHATME ENGLISH MEDIUM SCHOOL,1130300,MAHARASHTRA,SATARA,"GOURISHANKAR EDUCATION SOCIETY, GRAHAK SANGH, MARKET YARD, SATARA 415001",415001,0494,neetupatel1959@gmail.com,http://www.gkcity.org,Secondary School
ST. STEPHEN'S BESANIA PUBLIC SCHOOL,930354,KERALA,ERNAKULAM,CHELAD KOTHAMANGALAM DISTT ERNAKULAM KERALA,686681,0485,besania@gmail.com,,Senior Secondary
SUDHARSAN VIDHYA VIKAS,1930376,TAMILNADU,PUDUKKOTTAI,"PERUMANADU VILLAGE,",622104,07774,ajay@sec.ac.in,http://www.svv.ac.in,Secondary School
"TAGORE PUBLIC SENIOR SECONDARY SCHOOL, SURAJGARH",1730389,RAJASTHAN,JHUNJHUNU,"WARD NO. 2, CHIRAWA RAOD, SURAJGARH, DISTT. JHUNJHUNU, RAJASTHAN",333029,0294,tpsprincipal@gmail.com,http://www.tagoreinstituteofeducation.com,Senior Secondary
SARTI DEVI RAJA RAM PUBLIC SCHOOL,2130152,UTTAR PRADESH,MUZAFFARNAGAR,RAILWAY ROAD SHAMLI DISTT MUZAFFARNAGAR UTTAR PRADESH,247776,01398,sdrrps@gmail.com,,Senior Secondary
SWAMI VIVEKANANDA ACADEMY,1030385,MADHYA PRADESH,GWALIOR,"ABHILASHA BHAWAN, 
R.J.PURAM,
MEHROTRA FARM,
BHIND ROAD,",474005,,preetimehrotra12@gmail.com,,Secondary School
KENDRIYA VIDYALAYA,3400034,JHARKHAND,GODDA,"GODDA, HIGH SCHOOL CAMPUS, DISTT. GODDA, JHARKHAND",814133,06422,ldsabhi@gmail.com,,Senior Secondary
GOVT TRIBAL RESIDENTIAL SCHOOL,1720002,RAJASTHAN,,AABU ROAD SIROHI RAJASTHAN,,02974,,,Senior Secondary
RINKU INTERNATIONAL SCHOOL OF EXCELLENCE,430249,GUJARAT,SURAT,"BLOCK NO 108, CANAL ROAD, OFF SURAT KADODARA HWY.",394150,,shefali.pat@live.com,,Secondary School
RAJEEV GANDHI NAVODAYA VIDYALAYA,3520013,UTTARAKHAND,,"CHINYALSAUR,DISTT. UTTARAKHAND",262308,05943,sanjaykohli78@gmail.com,,Senior Secondary
MINERVA UNIVERSAL PUBLIC SCHOOL,2132896,UTTAR PRADESH,ALIGARH,"VILLAGE & POST - GOPI, DISTT. ALIGARH",202001,,minervaschoolvaishali@gmail.com,,Secondary School
GOVT BOYS SR SEC SCHOOL,2750045,DELHI,,PHASE-II ASHOK VIHAR DELHI,110052,011,jitendardoegnctd@gmail.com,,Senior Secondary
P E S VIDYALAYA,930058,KERALA,KANNUR,EDAT POST PAYYANUR KANNUR DIST. KERALA,670327,04972,poduvalraghava@yahoo.co.in,,Senior Secondary
